time, open, high, low, close, volume
2021-04-20 12:00:00, 409.661736081, 412.379799725, 407.943014598, 408.777538324, 14313234
2021-04-20 11:00:00, 411.638762526, 411.86726307, 409.075582512, 409.661736081, 14826622
2021-04-20 10:00:00, 410.903586863, 411.976545939, 410.903586863, 411.638762526, 5446800
2021-04-20 09:00:00, 410.734794505, 412.503090671, 410.526461618, 410.903586863, 711655
2021-04-20 08:00:00, 410.873782445, 411.032739345, 410.555868644, 410.933391282, 247286
2021-04-20 07:00:00, 410.843978026, 411.052608957, 409.989584687, 410.853912832, 103804
2021-04-20 06:00:00, 412.314329352, 412.314329352, 410.655216707, 410.853912832, 80264
2021-04-20 05:00:00, 412.950156953, 413.00976579, 412.29445974, 412.37393819, 41214
2021-04-19 20:00:00, 412.791200052, 413.069374628, 412.562699508, 413.00976579, 156246
2021-04-19 19:00:00, 412.45341664, 412.840874084, 412.45341664, 412.781265246, 87397
2021-04-19 18:00:00, 412.503090671, 412.552764702, 412.45341664, 412.45341664, 857028
2021-04-19 17:00:00, 412.557732105, 412.711721602, 412.367977306, 412.503090671, 6338100
2021-04-19 16:00:00, 412.368970786, 412.632243152, 411.440066401, 412.552764702, 20571756
2021-04-19 15:00:00, 411.966611133, 412.413677415, 411.668566945, 412.370957748, 5537306
2021-04-19 14:00:00, 411.504642642, 412.383872996, 411.340718339, 411.966611133, 5393267
2021-04-19 13:00:00, 412.115633227, 412.552764702, 411.092348182, 411.504642642, 9292211
2021-04-19 12:00:00, 412.637210555, 412.999830984, 411.539414464, 412.135502839, 8232784
2021-04-19 11:00:00, 413.903898353, 413.953572385, 411.678501751, 412.643966224, 14353140
2021-04-19 10:00:00, 413.715137035, 414.023116029, 413.278005559, 413.903898353, 5943374
2021-04-19 09:00:00, 413.506605451, 413.764811066, 413.297875172, 413.675397809, 264533
2021-04-19 08:00:00, 413.605854166, 413.744941453, 413.367418815, 413.466766878, 214397
2021-04-19 07:00:00, 413.764811066, 413.933702772, 413.238266334, 413.576049747, 178208
2021-04-19 06:00:00, 414.052920447, 414.052920447, 413.566114941, 413.784680678, 18216
2021-04-19 05:00:00, 414.15226851, 414.341029829, 413.99331161, 414.052920447, 25802
2021-04-16 20:00:00, 414.360899441, 414.360899441, 414.033050835, 414.033050835, 16571
2021-04-16 19:00:00, 414.182072929, 414.400638666, 414.182072929, 414.360899441, 40765
2021-04-16 18:00:00, 414.033050835, 414.539725954, 413.99331161, 414.082724866, 318011
2021-04-16 17:00:00, 414.609269598, 414.609269598, 414.023116029, 414.102594479, 11671778
2021-04-16 16:00:00, 414.718552467, 415.185488361, 414.380769054, 414.589499333, 22046897
2021-04-16 15:00:00, 413.783687198, 414.768226498, 413.685332616, 414.718552467, 7251646
2021-04-16 14:00:00, 413.893963547, 414.082724866, 413.715137035, 413.784680678, 4362785
2021-04-16 13:00:00, 413.685332616, 415.162538958, 413.685332616, 413.884028741, 5229033
2021-04-16 12:00:00, 413.884028741, 414.281420991, 413.476701684, 413.685332616, 7044839
2021-04-16 11:00:00, 413.397223234, 414.291355798, 413.019700596, 413.893963547, 15467704
2021-04-16 10:00:00, 414.132398897, 414.668878435, 413.198527109, 413.387288428, 7297426
2021-04-16 09:00:00, 413.75487626, 414.15226851, 412.592503927, 414.132398897, 282688
2021-04-16 08:00:00, 413.307809978, 413.784680678, 413.268070753, 413.764811066, 174553
2021-04-16 07:00:00, 413.347549203, 413.486636491, 413.268070753, 413.367418815, 34757
2021-04-16 06:00:00, 412.840874084, 413.496571297, 412.840874084, 413.387288428, 11940
2021-04-16 05:00:00, 412.751460827, 412.890548115, 412.572634315, 412.890548115, 12844
2021-04-15 20:00:00, 413.08924424, 413.218396722, 413.079309434, 413.109113853, 45114
2021-04-15 19:00:00, 413.119048659, 413.16872269, 412.910417728, 413.119048659, 115122
2021-04-15 18:00:00, 413.119048659, 413.238266334, 413.059439821, 413.158787884, 76535
2021-04-15 17:00:00, 413.148853078, 413.218396722, 412.910417728, 413.079309434, 2280483
2021-04-15 16:00:00, 412.642177959, 413.446897266, 412.185176871, 413.119048659, 17411531
2021-04-15 15:00:00, 412.696819393, 413.079309434, 412.473286252, 412.652112765, 6148255
2021-04-15 14:00:00, 412.920352534, 412.989896178, 412.383872996, 412.700892664, 4823521
2021-04-15 13:00:00, 412.111559956, 412.970026565, 411.996415552, 412.920253186, 4192158
2021-04-15 12:00:00, 412.214981289, 412.751460827, 411.817589039, 412.115633227, 7803361
2021-04-15 11:00:00, 411.271174695, 412.45341664, 411.052608957, 412.205046483, 8932940
2021-04-15 10:00:00, 411.102282988, 411.668566945, 410.774434382, 411.251305082, 6709476
2021-04-15 09:00:00, 410.704990086, 411.420196789, 409.552453212, 411.092348182, 431966
2021-04-15 08:00:00, 410.744629963, 410.973130507, 410.386976938, 410.973130507, 221700
2021-04-15 07:00:00, 410.396911744, 410.804238801, 410.357172519, 410.804238801, 13008
2021-04-15 06:00:00, 410.615477482, 410.704890738, 410.436650969, 410.446585775, 19389
2021-04-15 05:00:00, 410.496259807, 410.645281901, 410.416781357, 410.615477482, 19864
2021-04-14 20:00:00, 409.333887474, 409.333887474, 409.045778093, 409.135191349, 98580
2021-04-14 19:00:00, 409.214669799, 409.512713987, 409.115321737, 409.274278637, 89184
2021-04-14 18:00:00, 409.095452124, 409.264343831, 408.767603518, 409.254409024, 64678
2021-04-14 17:00:00, 408.817277549, 409.284213443, 408.767603518, 409.135191349, 5408043
2021-04-14 16:00:00, 408.648385843, 409.433235537, 408.191384755, 408.807342743, 18285886
2021-04-14 15:00:00, 409.423300731, 409.900171431, 408.509298555, 408.668255455, 10683533
2021-04-14 14:00:00, 410.754564769, 410.784369188, 409.145126155, 409.423300731, 4648203
2021-04-14 13:00:00, 410.724164262, 410.873782445, 410.198116271, 410.749597366, 3817815
2021-04-14 12:00:00, 410.704890738, 410.873782445, 410.039258719, 410.719792947, 4510087
2021-04-14 11:00:00, 411.122152601, 411.261239889, 410.496259807, 410.714825544, 6658068
2021-04-14 10:00:00, 410.049193525, 411.132087407, 409.860432206, 411.132087407, 6092671
2021-04-14 09:00:00, 410.585573715, 410.744629963, 409.959780269, 410.049193525, 161411
2021-04-14 08:00:00, 410.337302907, 410.744629963, 410.307498488, 410.685021126, 244352
2021-04-14 07:00:00, 410.476390194, 410.615477482, 410.277694069, 410.337302907, 150300
2021-04-14 06:00:00, 410.665151513, 410.694955932, 410.605542676, 410.694955932, 8395
